metric_name,entity_name,currency,date,item_segment,category_name,value,quarter_start,quarter_end
Gross Merchandise Volume - Total,eBay,USD,2021-10-08,International,Health & Beauty,4184446.498410,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-08-31,International,Home & Garden,25830677.516863,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-08-20,International,Computers,7263307.928559,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-07-11,United States,Consumer Electronics,2592651.615289,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-06-27,United States,Consumer Electronics,2749431.432155,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-04-14,International,Sports,8375386.215989,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-11-17,International,Collectibles & Art,9720150.154718,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-29,United States,Consumer Electronics,3799500.454333,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-09-09,International,Clothing & Accessories,15983642.699492,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-09-05,United States,Video Games,1683310.512651,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-05-09,International,Computers,8700622.136043,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-05-03,United States,Video Games,2981277.138656,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-04-16,International,Home & Garden,39773589.861514,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-04-13,United States,Computers,6522048.131248,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-04-04,United States,Clothing & Accessories,13612060.747326,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-03-22,United States,Sports,9458459.007254,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-02-06,United States,Sports,9137458.845755,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-01-27,United States,"Books, Movies & Music",1710922.866549,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-01-19,United States,Photo,1506436.340141,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-12-15,United States,"Books, Movies & Music",1972524.086260,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-12-10,United States,Video Games,3104958.796899,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-11-27,United States,Toys & Hobbies,6959665.704495,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-10-30,International,Musical Instruments,1173177.908029,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-09-01,International,Remaining Categories,467295.219347,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-08-17,United States,Musical Instruments,1273244.846035,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-08-16,United States,Tickets & Travel,167391.758399,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-08-04,International,Tickets & Travel,151011.233207,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-27,International,Remaining Categories,400670.731213,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-18,United States,"Business, Office & Industrial",9091123.311203,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-16,United States,Sports,18209318.520122,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-04,International,Clothing & Accessories,17568031.060953,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-03-31,United States,Computers,9621798.284099,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-03-28,United States,Sports,18666520.632259,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-03-22,International,Consumer Electronics,4469299.504741,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-03-09,International,Tickets & Travel,120869.780279,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-03-09,International,Musical Instruments,1596118.695134,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-03-09,International,Toys & Hobbies,6285086.650143,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-02-27,International,Toys & Hobbies,8868911.718053,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-02-03,International,"Business, Office & Industrial",8587625.421130,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-01-28,International,Collectibles & Art,8789009.446161,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-01-18,International,Consumer Electronics,5835502.107144,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-11-30,United States,Musical Instruments,1795175.731254,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-11-13,International,Remaining Categories,462612.717616,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-06-21,International,Remaining Categories,515648.403702,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-21,International,"Books, Movies & Music",2716869.391351,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-13,United States,Consumer Electronics,3796525.242371,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-12,United States,Musical Instruments,1768091.223161,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-04-22,International,"Books, Movies & Music",2390744.630836,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-03-29,International,Home & Garden,35081407.310681,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-03-25,United States,Tickets & Travel,14463.196221,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-03-02,United States,Tickets & Travel,641615.393241,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-11-26,International,Sports,8427157.483134,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-09-29,United States,Clothing & Accessories,13647375.486372,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-09-24,International,"Books, Movies & Music",2046907.011560,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-09-23,United States,Toys & Hobbies,4662535.772611,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-08-25,International,Remaining Categories,365977.928318,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-06-20,United States,Clothing & Accessories,11762354.752422,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-06-14,United States,Photo,1907739.831358,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-04-21,International,Computers,10192286.223404,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-04-14,International,Consumer Electronics,3532846.931709,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-01-21,International,Cell Phones & Telecom,5344397.345824,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-12-18,United States,Photo,1664439.312154,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-11-30,International,"Books, Movies & Music",4256630.012750,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-19,United States,Sports,14918282.529116,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-09-24,United States,"Business, Office & Industrial",10433612.762907,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-08-04,International,Consumer Electronics,4488701.144298,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-07-17,International,Video Games,1952857.910467,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-07-16,International,Cell Phones & Telecom,5794553.738270,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-04-24,United States,Parts & Accessories,24948039.472210,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-03-22,International,Photo,2587860.942471,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-03-18,International,Parts & Accessories,17833156.789649,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-10-07,United States,Health & Beauty,3576838.565897,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-09-24,International,Consumer Electronics,3011439.970227,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-09-17,United States,Photo,1452745.240850,2021-07-01,2021-09-30
